NOM,NOM_ALPHA,CODE,ARTICLE,NOM_LONG,CAPITALE,CONTINENT,SUBTHEME,THEME,THEME_LEVEL,CATEGORY,QUIZZ_ordering,FLAG,,,,,,,,,
Lésotho,Lésotho,LSO,le,Royaume du Lesotho,Maséru,Afrique,Afrique,geography,1,Capitales,3,lesotho,,,,,,,,,lesotho
Lettonie,Lettonie,LVA,la,République de Lettonie,Riga,Europe,Europe,geography,1,Capitales,2,letonnie,,,,,,,,,letonnie
Liban,Liban,LBN,le,République libanaise,Beyrouth,Asie,Asie,geography,1,Capitales,3,liban,,,,,,,,,liban
Libéria,Libéria,LBR,le,République du Libéria,Monrovia,Afrique,Afrique,geography,1,Capitales,3,liberia,,,,,,,,,liberia
Libye,Libye,LBY,la,État de Libye,Tripoli,Afrique,Afrique,geography,1,Capitales,3,libye,,,,,,,,,libye
Liechtenstein,Liechtenstein,LIE,le,Principauté du Liechtenstein,Vaduz,Europe,Europe,geography,1,Capitales,3,liechestein,,,,,,,,,liechestein
Lituanie,Lituanie,LTU,la,République de Lituanie,Vilnius,Europe,Europe,geography,1,Capitales,3,lituanie,,,,,,,,,lituanie
Luxembourg,Luxembourg,LUX,le,Grand-Duché de Luxembourg,Luxembourg,Europe,Europe,geography,1,Capitales,3,luxembourg,,,,,,,,,luxembourg
Macédoine du Nord,Macédoine du Nord,MKD,l',République de Macédoine du Nord,Skopje,Europe,Europe,geography,1,Capitales,3,macedoine,,,,,,,,,macedoine
Madagascar,Madagascar,MDG,,République de Madagascar,Antananarivo (Tananarive),Afrique,Afrique,geography,1,Capitales,3,madagascar,,,,,,,,,madagascar
Malaisie,Malaisie,MYS,la,Malaisie,Kuala Lumpur,Asie,Asie,geography,1,Capitales,3,malaisie,,,,,,,,,malaisie
Malawi,Malawi,MWI,le,République du Malawi,Lilongwé,Afrique,Afrique,geography,1,Capitales,3,malawi,,,,,,,,,malawi
Maldives,Maldives,MDV,les,République des Maldives,Malé,Asie,Asie,geography,1,Capitales,3,maldives,,,,,,,,,maldives
Mali,Mali,MLI,le,République du Mali,Bamako,Afrique,Afrique,geography,1,Capitales,4,mali,,,,,,,,,mali
Malte,Malte,MLT,,République de Malte,La Valette,Europe,Europe,geography,1,Capitales,3,malte,,,,,,,,,malte
Maroc,Maroc,MAR,le,Royaume du Maroc,Rabat,Afrique,Afrique,geography,1,Capitales,4,maroc,,,,,,,,,maroc
Îles Marshall,Marshall (Îles),MHL,les,République des Îles Marshall,Delap-Uliga-Darrit,Iles pacifique,Iles Pacifiques,geography,2,Capitales,1,iles_marshall,,,,,,,,,iles_marshall
Maurice,Maurice,MUS,,République de Maurice,Port-Louis,Afrique,Afrique,geography,1,Capitales,4,ile_maurice,,,,,,,,,ile_maurice
Mauritanie,Mauritanie,MRT,la,République islamique de Mauritanie,Nouakchott,Afrique,Afrique,geography,1,Capitales,4,mauritanie,,,,,,,,,mauritanie
Mexique,Mexique,MEX,le,États-Unis du Mexique,Mexico,Amerique,Amérique,geography,1,Capitales,2,mexique,,,,,,,,,mexique
Micronésie,Micronésie,FSM,la,États fédérés de Micronésie,Palikir,Oceanie,Iles Pacifiques,geography,2,Capitales,1,micronesie,,,,,,,,,micronesie
Moldavie,Moldavie,MDA,la,République de Moldavie,Chisinau,Europe,Europe,geography,1,Capitales,3,moldavie,,,,,,,,,moldavie
Monaco,Monaco,MCO,,Principauté de Monaco,Monaco,Europe,Europe,geography,1,Capitales,3,monaco,,,,,,,,,monaco
Mongolie,Mongolie,MNG,la,Mongolie,Oulan-Bator,Asie,Asie,geography,1,Capitales,3,mongolie,,,,,,,,,mongolie
Monténégro,Monténégro,MNE,le,Monténégro,Podgorica,Europe,Europe,geography,1,Capitales,3,montenegro,,,,,,,,,montenegro
Mozambique,Mozambique,MOZ,le,République du Mozambique,Maputo,Afrique,Afrique,geography,1,Capitales,4,mozambique,,,myanmar?,,,,,,mozambique
Namibie,Namibie,NAM,la,République de Namibie,Windhoek,Afrique,Afrique,geography,1,Capitales,4,namibie,,,,,,,,,namibie
Nauru,Nauru,NRU,,République de Nauru,Yaren,Oceanie,Iles Pacifiques,geography,2,Capitales,1,nauru,,,,,,,,,nauru
Népal,Népal,NPL,le,République démocratique fédérale du Népal,Katmandou,Asie,Asie,geography,1,Capitales,3,nepal,,,,,,,,,nepal
Nicaragua,Nicaragua,NIC,le,République du Nicaragua,Managua,Amerique,Amérique,geography,1,Capitales,2,nicaragua,,,,,,,,,nicaragua
Niger,Niger,NER,le,République du Niger,Niamey,Afrique,Afrique,geography,1,Capitales,4,niger,,,,,,,,,niger
Nigéria,Nigéria,NGA,le,République fédérale du Nigéria,Abuja,Afrique,Afrique,geography,1,Capitales,4,nigeria,,,,,,,,,nigeria
Niue,Niue,NIU,,Niue,Alofi,Oceanie,Iles Pacifiques,geography,2,Capitales,2,niue,,,,,,,,,niue
Norvège,Norvège,NOR,la,Royaume de Norvège,Oslo,Europe,Europe,geography,1,Capitales,3,norvege,,,,,,,,,norvege
Nouvelle-Zélande,Nouvelle-Zélande,NZL,la,Nouvelle-Zélande,Wellington,Oceanie,Iles Pacifiques,geography,2,Capitales,2,nouvelle-zelande,,,,,,,,,nouvelle-zelande
Oman,Oman,OMN,,Sultanat d'Oman,Mascate,Asie,Asie,geography,1,Capitales,3,oman,,,,,,,,,oman
Ouganda,Ouganda,UGA,l',République d'Ouganda,Kampala,Afrique,Afrique,geography,1,Capitales,4,ouganda,,,,,,,,,ouganda
Ouzbékistan,Ouzbékistan,UZB,l',République d'Ouzbékistan,Tachkent,Asie,Asie,geography,1,Capitales,3,ouzbekistan,,,,,,,,,ouzbekistan
Pakistan,Pakistan,PAK,le,République islamique du Pakistan,Islamabad,Asie,Asie,geography,1,Capitales,4,pakistan,,,,,,,,,pakistan
Palaos,Palaos,PLW,les,République des Palaos,Melekeok,Oceanie,Iles Pacifiques,geography,2,Capitales,2,palau,,,,,,,,,palau
Panama,Panama,PAN,le,République du Panama,Panama,Amerique,Amérique,geography,1,Capitales,2,panama,,,,,,,,,panama
Papouasie-Nouvelle-Guinée,Papouasie-Nouvelle-Guinée,PNG,la,État indépendant de Papouasie-Nouvelle-Guinée,Port Moresby,Oceanie,Iles Pacifiques,geography,2,Capitales,2,papouasie_nouvelle_guinee,,,,,,,,,papouasie_nouvelle_guinee
Paraguay,Paraguay,PRY,le,République du Paraguay,Assomption (Asuncion),Amerique,Amérique,geography,1,Capitales,2,paraguay,,,,,,,,,paraguay
Pays-Bas,Pays-Bas,NLD,les,Royaume des Pays-Bas,Amsterdam,Europe,Europe,geography,1,Capitales,3,pays-bas,,,,,,,,,pays-bas
Pérou,Pérou,PER,le,République du Pérou,Lima,Amerique,Amérique,geography,1,Capitales,2,perou,,,,,,,,,perou
Philippines,Philippines,PHL,les,République des Philippines,Manille,Asie,Asie,geography,1,Capitales,4,philippines,,,,,,,,,philippines
Pologne,Pologne,POL,la,République de Pologne,Varsovie,Europe,Europe,geography,1,Capitales,3,pologne,,,,,,,,,pologne
Portugal,Portugal,PRT,le,République portugaise,Lisbonne,Europe,Europe,geography,1,Capitales,4,portugal,,,,,,,,,portugal
Qatar,Qatar,QAT,le,État du Qatar,Doha,Asie,Asie,geography,1,Capitales,4,qatar,,,,,,,,,qatar
Roumanie,Roumanie,ROU,la,Roumanie,Bucarest,Europe,Europe,geography,1,Capitales,4,roumanie,,,,,,,,,roumanie
Royaume-Uni,Royaume-Uni,GBR,le,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Londres,Europe,Europe,geography,1,Capitales,4,royaume-unis,,,,,,,,,royaume-unis
Russie,Russie,RUS,la,Fédération de Russie,Moscou,Europe,Europe,geography,1,Capitales,4,russie,,,,,,,,,russie
Rwanda,Rwanda,RWA,le,République du Rwanda,Kigali,Afrique,Afrique,geography,1,Capitales,4,rwanda,,,,,,,,,rwanda
Saint-Christophe-et-Niévès,Saint-Christophe-et-Niévès,KNA,,Fédération de Saint-Christophe-et-Niévès,Basseterre,Caraibes,Iles des Caraibes,geography,2,Capitales,2,saint_christophe_et_nieves,,,,,,,,,saint_christohpe_et_nieves
Saint-Marin,Saint-Marin,SMR,,République de Saint-Marin,Saint-Marin,Europe,Iles des Caraibes,geography,2,Capitales,2,saint_marin,,,,,,,,,saint_marin
Saint-Vincent-et-les-Grenadines,Saint-Vincent-et-les-Grenadines,VCT,,Saint-Vincent-et-les-Grenadines,Kingstown,Amerique,Iles des Caraibes,geography,2,Capitales,2,saint_vincent_et_les_grenadines,,,,,,,,,saint_vincent_et_les_grenadines
Sainte-Lucie,Sainte-Lucie,LCA,,Sainte-Lucie,Castries,Amerique,Iles des Caraibes,geography,2,Capitales,2,saint_lucie,,,,,,,,,saint_lucie
Salomon,Salomon,SLB,les,Îles Salomon,Honiara,Oceanie,Iles Pacifiques,geography,2,Capitales,2,iles_salomon,,,,,,,,,iles_salomon
Salvador,Salvador,SLV,le,République du Salvador,San Salvador,Amerique,Amérique,geography,1,Capitales,2,salvador,,,,,,,,,salvador
Samoa,Samoa,WSM,les,État indépendant des Samoa,Apia,Oceanie,Iles Pacifiques,geography,2,Capitales,2,samoa,,,,,,,,,samoa
Sao Tomé-et-Principe,Sao Tomé-et-Principe,STP,,République démocratique de Sao Tomé-et-Principe,Sao Tomé,Afrique,Afrique,geography,1,Capitales,5,sao_tome_et_principe,,,,,,,,,sao_tome_et_principe
Sénégal,Sénégal,SEN,le,République du Sénégal,Dakar,Afrique,Afrique,geography,1,Capitales,5,senegal,,,,,,,,,senegal
Serbie,Serbie,SRB,la,République de Serbie,Belgrade,Europe,Europe,geography,1,Capitales,4,serbie,,,,,,,,,serbie
Seychelles,Seychelles,SYC,les,République des Seychelles,Victoria,Afrique,Afrique,geography,1,Capitales,5,seychelles,,,,,,,,,seychelles
Sierra Leone,Sierra Leone,SLE,la,République de Sierra Leone,Freetown,Afrique,Afrique,geography,1,Capitales,5,sierra_leone,,,,,,,,,sierra_leone
Singapour,Singapour,SGP,,République de Singapour,Singapour,Asie,Asie,geography,1,Capitales,4,singapour,,,,,,,,,singapour
Slovaquie,Slovaquie,SVK,la,République slovaque,Bratislava,Europe,Europe,geography,1,Capitales,4,slovaquie,,,,,,,,,slovaquie
Slovénie,Slovénie,SVN,la,République de Slovénie,Ljubljana,Europe,Europe,geography,1,Capitales,4,slovenie,,,,,,,,,slovenie
Somalie,Somalie,SOM,la,République fédérale de Somalie,Mogadiscio,Afrique,Afrique,geography,1,Capitales,5,somalie,,,,,,,,,somalie
Soudan,Soudan,SDN,le,République du Soudan,Khartoum,Afrique,Afrique,geography,1,Capitales,5,soudan,,,,,,,,,soudan
Soudan du Sud,Soudan du Sud,SDS,le,République du Soudan du Sud,Djouba,Afrique,Afrique,geography,1,Capitales,5,sudan du sud,,,,,,,,,sudan du sud
Sri Lanka,Sri Lanka,LKA,le,République démocratique socialiste du Sri Lanka,Sri Jayewardenepura-Kotte,Asie,Asie,geography,1,Capitales,4,sri_lanka,,,,,,,,,sri_lanka
Suède,Suède,SWE,la,Royaume de Suède,Stockholm,Europe,Europe,geography,1,Capitales,4,suede,,,,,,,,,suede
Suisse,Suisse,CHE,la,Confédération suisse,Berne,Europe,Europe,geography,1,Capitales,4,suisse,,,,,,,,,suisse
Suriname,Suriname,SUR,le,République du Suriname,Paramaribo,Amerique,Amérique,geography,1,Capitales,2,suriname,,,,,,,,,suriname
Syrie,Syrie,SYR,la,République arabe syrienne,Damas,Asie,Asie,geography,1,Capitales,4,syrie,,,,,,,,,syrie
Tadjikistan,Tadjikistan,TJK,le,République du Tadjikistan,Douchanbé,Asie,Asie,geography,1,Capitales,4,tadjikistan,,,,,,,,,tadjikistan
Tanzanie,Tanzanie,TZA,la,République unie de Tanzanie,Dodoma,Afrique,Afrique,geography,1,Capitales,5,tanzanie,,,,,,,,,tanzanie
Tchad,Tchad,TCD,le,République du Tchad,Ndjamena,Afrique,Afrique,geography,1,Capitales,5,tchad,,,,,,,,,tchad
Tchéquie,Tchéquie,CZE,la,République tchèque,Prague,Europe,Europe,geography,1,Capitales,4,tchéquie,,,,,,,,,tchéquie
Thaïlande,Thaïlande,THA,la,Royaume de Thaïlande,Bangkok,Asie,Asie,geography,1,Capitales,4,thailande,,,,,,,,,thailande
Timor oriental,Timor oriental,TLS,le,République démocratique du Timor oriental,Dili,Asie,Iles Pacifiques,geography,2,Capitales,2,timor_oriental,,,,,,,,,timor_oriental
Togo,Togo,TGO,le,République togolaise,Lomé,Afrique,Afrique,geography,1,Capitales,5,togo,,,,,,,,,togo
Tonga,Tonga,TON,les,Royaume des Tonga,Nuku'alofa,Oceanie,Iles Pacifiques,geography,2,Capitales,2,tonga,,,,,,,,,tonga
Trinité-et-Tobago,Trinité-et-Tobago,TTO,la,République de Trinité-et-Tobago,Port-d'Espagne (Port of Spain),Amerique,Amérique,geography,1,Capitales,2,trinite-et-tobago,,,,,,,,,trinite-et-tobago
Tunisie,Tunisie,TUN,la,République tunisienne,Tunis,Afrique,Afrique,geography,1,Capitales,5,tunisie,,,,,,,,,tunisie
Turkménistan,Turkménistan,TKM,le,Turkménistan,Achgabat,Asie,Asie,geography,1,Capitales,4,turkmenistan,,,,,,,,,turkmenistan
Turquie,Turquie,TUR,la,République de Turquie,Ankara,Asie,Asie,geography,1,Capitales,4,turquie,,,,,,,,,turquie
Tuvalu,Tuvalu,TUV,les,Tuvalu,Vaiaku,Oceanie,Iles Pacifiques,geography,2,Capitales,2,tuvalu,,,,,,,,,tuvalu
Ukraine,Ukraine,UKR,l',Ukraine,Kiev,Europe,Europe,geography,1,Capitales,4,ukraine,,,,,,,,,ukraine
Uruguay,Uruguay,URY,l',République orientale de l'Uruguay,Montévidéo,Amerique,Amérique,geography,1,Capitales,2,uruguay,,,,,,,,,uruguay
Vanuatu,Vanuatu,VUT,le,République du Vanuatu,Port-Vila,Oceanie,Iles Pacifiques,geography,2,Capitales,2,vanuatu,,,,,,,,,vanuatu
Vatican,Vatican,VAT,le,Vatican (Saint-Siège),Vatican,Europe,Europe,geography,1,Capitales,4,vatican,,,,,,,,,vatican
Vénézuéla,Vénézuéla,VEN,le,République bolivarienne du Vénézuéla,Caracas,Amerique,Amérique,geography,1,Capitales,2,venezuela,,,,,,,,,venezuela
Vietnam,Vietnam,VNM,le,République socialiste du Vietnam,Hanoï,Asie,Asie,geography,1,Capitales,4,vietnam,,,,,,,,,vietnam
Yémen,Yémen,YEM,le,République du Yémen,Sanaa,Asie,Asie,geography,1,Capitales,4,yemen,,,,,,,,,yemen
Zambie,Zambie,ZMB,la,République de Zambie,Lusaka,Afrique,Afrique,geography,1,Capitales,5,zambie,,,,,,,,,zambie
Zimbabwé,Zimbabwé,ZWE,le,République du Zimbabwé,Hararé,Afrique,Afrique,geography,1,Capitales,5,zimbabwe,,,,,,,,,zimbabwe